Fund_Code,Fund_Name,Rainbow_Fund_Type,monthly_return,monthly_3_return,monthly_6_return,since_jan,annual_1_return,annual_3_return,annual_5_return,applied_management_fee,bylaw_management_fee,annual_realized_return_rate,max_total_expense_ratio,init_fund_size,current_fund_size,portfolio_size_change,init_out_shares,current_out_shares,change_in_nshares,realized_return_rate
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"-18,014","-24,080","-66,217","-21,056","0,8675","447,233","999,752",0,3,"27,4",0,"444.524.482,92","435.470.975,36","-2,04","180.514.637,00","171.709.882,00","-4,88","2,99"
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"-57,545","-14,708",-,-,-,-,-,"1,75","1,75","25,72","3,65","393.679.930,81","430.340.778,32","9,31","12.891.759,00","13.105.236,00","1,66","7,53"
ONK,AK PORTFÖY ONİKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"61,664","77,717",-,-,-,-,-,"1,95",0,"48,32","4,38","1.484.561.434,39","1.403.537.622,53","-5,46","42.781.513,00","41.312.873,00","-3,43","-2,10"
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"101,599","159,519","1,207,955",-,-,-,-,"1,25","1,25","11,11","3,65","327.802.280,55","409.158.523,17","24,82","26.649.371,00","31.004.624,00","16,34","7,29"
EYT,AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,-,-,-,-,-,-,-,1,1,"64,46",,"190.198.025,16","187.834.633,74","-1,24","11.959.133,00","11.511.567,00","-3,74","2,60"
BUL,AKTİF PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,-,-,-,-,-,-,-,"2,9","2,9","63,54","3,65","165.543.551,89","141.903.837,03","-14,28","16.528.211,00","13.872.416,00","-16,07","2,13"
MTS,AKTİF PORTFÖY TARIM VE SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"58,198","0,8616","414,349",-,-,-,-,"2,5","2,5","142,61",,"48.750.152,38","42.800.520,56","-12,20","751.902.931,00","631.000.232,00","-16,08","4,62"
CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,-,-,-,-,-,-,-,"2,6","2,6","44,01","3,65","1.633.984.854,01","1.919.775.168,41","17,49","3.649.025.109,00","3.838.917.866,00","5,20","11,68"
LLA,ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"545,605","403,984",-,-,-,-,-,"1,05","1,05","71,07","3,65","7.460.242,51","8.118.088,03","8,82","307.925,00","314.578,00","2,16","6,52"
AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,-,-,-,-,-,-,-,"1,9","1,9","76,09","2,19","34.227.705,40","35.010.867,62","2,29","25.853.469,00","25.890.869,00","0,14","2,14"
