Fund_Code,Fund_Name,Rainbow_Fund_Type,monthly_return,monthly_3_return,monthly_6_return,since_jan,annual_1_return,annual_3_return,annual_5_return,applied_management_fee,bylaw_management_fee,annual_realized_return_rate,max_total_expense_ratio,init_fund_size,current_fund_size,portfolio_size_change,init_out_shares,current_out_shares,change_in_nshares,realized_return_rate
TLZ,ATA PORTFÖY ANALİZ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"11,136","93,989","889,759","567,524","844,596","6,985,050",-,"0,79935","0,79935","24,56","1,28","107.741.563,66","115.635.333,86","7,33","2.204.531,31","2.284.094,31","3,61","3,59"
OPI,OSMANLI PORTFÖY İKİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"-0,3001","34,017","832,849","508,790","841,218","7,790,722",-,"125,195","125,195","37,89","3,65","14.237.196,80","12.033.030,37","-15,48","20.076.809,00","16.499.835,00","-17,82","2,84"
KIB,TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"118,800","97,336","610,965","855,506","839,943",-,-,3,3,"85,6","3,65","90.052.833,35","93.566.711,06","3,90","73.957.213,00","73.912.936,00","-0,06","3,96"
IJC,İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"114,518","63,908","637,514","808,358","839,158",-,-,2,2,"38,91",0,"106.538.262,86","159.356.602,36","49,58","500.067.968,00","704.113.682,00","40,80","6,23"
HVS,HSBC PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"29,893","32,451","873,184","633,409","839,115","8,326,232","1.555,5785","0,5","0,5","70,47",0,"277.925.917,26","322.267.815,32","15,95","3.541.650.328,00","3.744.019.654,00","5,71","9,69"
YZH,TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,"-0,1042","152,273","1,010,111","662,787","838,430",-,-,1,0,0,,"85.900.893,57","122.029.379,22","42,06","102.247.721,00","128.419.682,00","25,60","13,11"
YUB,YAPI KREDİ PORTFÖY KARAKÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"17,516","39,156","880,174","536,612","837,547",-,-,3,3,0,"1,65","11.573.863,95","6.527.914,22","-43,60","7.549.953,00","4.148.673,00","-45,05","2,64"
TAU,İŞ PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"0,2228","153,739","998,188","660,250","834,225","4,591,598","5,778,325","0,993","0,993",0,,"110.429.071,08","125.875.208,28","13,99","2.525.351.575,00","2.812.177.512,00","11,36","2,36"
GJB,INVEO PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"31,127","80,589","708,016","655,268","832,806",-,-,0,"1,2","67,52",,"87.476.243,90","102.015.376,17","16,62","14.087.102,00","15.188.767,00","7,82","8,16"
GGK,INVEO PORTFÖY ALTIN FON,Kıymetli Madenler Şemsiye Fonu,"28,024","74,162","513,513","733,279","828,108","2,960,046",-,"1,75","1,75","30,26",0,"79.730.320,10","82.308.124,00","3,23","36.713.630,00","36.443.380,00","-0,74","4,00"
YCP,YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"-0,2832","138,722","967,746","654,940","826,928",-,-,"1,95","1,95","55,14","3,65","670.355.314,10","746.151.599,31","11,31","21.748.682,00","22.618.739,00","4,00","7,03"
TGA,GARANTİ PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,"36,039","94,529","672,832","595,839","824,796","4,895,616","7,212,466",1,1,"50,1","4,38","0,00","168.469.314,77","0,00","0,00","159.346.747,00","0,00","0,00"
FID,FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"25,190","79,019","746,360","614,492","821,618","3,990,526","7,925,560","0,993","0,993","59,59",0,"119.035.725,33","115.976.038,18","-2,57","98.384.926,00","92.277.292,00","-6,21","3,88"
ODP,OSMANLI PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,"111,744","86,532","577,734","887,947","817,351",-,-,"17,885","17,885","24,11","3,65","2.999.846.947,87","4.927.462.830,81","64,26","106.168.116,00","169.772.921,00","59,91","2,72"
MAC,MARMARA CAPITAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"10,319","109,270","1,077,705","476,042","811,095","7,159,214","2.421,1524","100,375","100,375","73,05","2,19","34.165.402,13","39.604.177,80","15,92","14.476.713,00","15.548.141,00","7,40","7,93"
GPG,INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"116,145","14,206","491,235","698,637","810,146","3,035,587","5,177,159","2,92","2,92","82,16","3,65","55.901.469,07","60.153.048,07","7,61","33.430.020,00","33.367.658,00","-0,19","7,81"
MTV,AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"128,600","152,717","617,124","800,561","807,853",-,-,"0,75","0,75","32,12","1,65","228.419.030,92","267.425.590,25","17,08","75.970.594,00","86.328.433,00","13,63","3,03"
MMH,AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"76,480","102,444","826,142","604,476","807,271","5,857,181",-,"1,19","1,19","14,89","3,65","756.335.899,52","769.323.752,27","1,72","274.130.980,00","270.839.177,00","-1,20","2,95"
DLD,DENİZ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"39,478","87,085","786,146","541,134","805,354",-,-,"2,92","2,92","91,12",0,"1.087.267.957,49","420.475.192,59","-61,33","31.821.546,00","11.982.628,00","-62,34","2,70"
KZL,KT PORTFÖY KIZILAY'A DESTEK ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"29,183","87,868","455,632","701,381","804,123","2,994,242",-,"0,75","0,75","78,81",0,"65.655.100,50","68.135.860,34","3,78","193.040,84","196.247,15","1,66","2,08"
TZD,ZİRAAT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"0,5300","33,463","828,825","507,524","803,214","6,157,865","9,356,192","0,35","0,35",0,0,"902.424.056,69","905.279.368,80","0,32","6.329.342.394,39","6.216.983.182,39","-1,78","2,13"
GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"115,947","118,981","670,885","784,396","796,161",-,-,"0,25","0,25",0,0,"1.599.950.884,04","1.573.879.285,32","-1,63","2.891.098.641,00","2.771.588.223,00","-4,13","2,61"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"111,364","87,011","598,518","899,981","796,107","3,365,420","7,649,031","20,075","20,075","50,59","3,65","1.535.174.419,36","1.806.620.670,79","17,68","13.874.182.758,00","15.878.901.350,00","14,45","2,82"
FJZ,FİBA PORTFÖY FIRTINA SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"63,162","104,703","642,409","715,653","788,120",-,-,0,3,0,,"9.244.123,63","8.634.296,12","-6,60","76.544.119,00","71.918.119,00","-6,04","-0,59"
KTS,KT PORTFÖY İKİNCİ KATILIM SERBEST FON,Serbest Şemsiye Fonu,"33,942","83,490","655,276","628,780","788,024","2,630,310","3,692,081","1,095","1,095","74,31","3,65","39.803.004,07","53.403.709,13","34,17","20.906.473,00","24.250.824,00","16,00","15,67"
IJT,İŞ PORTFÖY TARIM SERBEST FON,Serbest Şemsiye Fonu,"49,843","89,144","698,973","676,013","785,477",-,-,"3,103","3,103","94,95","3,65","256.229.275,29","337.282.479,55","31,63","8.661.747,00","10.788.303,00","24,55","5,69"
BDC,AURA PORTFÖY BODRUM SERBEST FON,Serbest Şemsiye Fonu,"34,631","61,418","657,423","543,518","782,820",-,-,"2,1","2,1","26,42","2,56","5.574.432.206,90","6.374.464.963,92","14,35","186.628.067,00","200.838.819,00","7,61","6,26"
YPC,YAPI KREDİ PORTFÖY İKLİM DEĞİŞİKLİĞİ ÇÖZÜMLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"59,989","32,238","639,234","676,443","781,876",-,-,"0,95","0,95","64,59",0,"11.154.010,92","18.277.884,68","63,87","389.682,00","619.281,00","58,92","3,11"
FYD,QNB FİNANS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"18,884","18,754","835,773","598,634","775,630","7,739,188","1.299,5359","1,49","1,49","33,54",0,"2.333.295.899,82","2.323.693.229,63","-0,41","31.866.352.157,03","31.201.754.566,03","-2,09","1,71"
DYN,DENİZ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"60,480","25,249","606,154","798,849","775,312",-,-,"3,4","3,4",0,0,"554.100.026,52","649.745.119,10","17,26","544.174.183,00","642.389.187,00","18,05","-0,67"
ZPE,ZİRAAT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"23,260","74,167","846,230","525,631","774,751","5,693,748","1.353,5263","2,95","2,95",0,0,"357.785.307,14","402.110.588,88","12,39","10.383.500,00","11.001.787,00","5,95","6,07"
DPT,DENİZ PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON ),Hisse Senedi Şemsiye Fonu,"26,057","18,349","730,540","534,933","768,583","5,363,024","8,571,857","1,3","1,3","31,64",0,"1.425.585.560,33","1.440.825.906,93","1,07","82.786.021,00","81.088.741,00","-2,05","3,18"
DBH,DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"77,914","106,113","652,731","705,158","768,002","3,213,173","6,946,401","2,9","2,9","71,07","3,65","32.709.163,35","33.118.926,03","1,25","1.023.504.228,00","1.010.558.228,00","-1,26","2,55"
IBB,İŞ PORTFÖY ATAK DEĞİŞKEN FON,Değişken Şemsiye Fonu,"82,774","82,454","571,318","691,200","767,801","3,042,073","5,020,596","1,75","1,75","65,91","3,65","1.162.386.012,77","1.306.917.513,76","12,43","32.379.962,00","35.122.123,00","8,47","3,66"
TCD,TACİRLER PORTFÖY DEĞIŞKEN FON,Değişken Şemsiye Fonu,"-59,512","0,4044","764,630","389,320","765,101","6,742,517","2.808,5047","2,74","2,74","77,56","3,65","6.713.030.616,13","2.895.918.322,51","-56,86","3.296.808.825,00","1.382.978.290,00","-58,05","2,84"
GO4,FONERİA PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"59,908","72,112","562,869","717,709","764,534",-,-,"1,5","1,5","29,46","3,65","81.311.453,86","77.580.640,86","-4,59","45.544.419,00","41.337.709,00","-9,24","5,12"
TTA,İŞ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"14,208","86,296","433,090","680,003","760,863","2,904,752","7,368,863","2,28","2,28","59,33","4,38","73.546.968,22","86.069.987,55","17,03","56.562.508,00","55.211.065,00","-2,39","19,89"
OUD,OSMANLI PORTFÖY ATLANTİK SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"38,221","83,481","608,479","680,433","760,168",-,-,"0,89","0,89","41,21",0,"32.603.276,40","41.921.004,67","28,58","17.711.711,00","22.142.140,00","25,01","2,85"
MPS,AKTİF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"71,797","78,101","855,435","544,366","759,966","4,451,645","1.306,1214",2,2,"34,87","3,65","1.191.789.591,68","948.089.955,61","-20,45","338.206.761,00","267.925.410,00","-20,78","0,42"
MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,Kıymetli Madenler Şemsiye Fonu,"22,037","91,322","447,499","655,493","758,419","3,009,583",-,"2,051","2,051","60,25","2,19","705.875.805,92","742.874.846,13","5,24","2.088.055.793,00","2.088.822.417,00","0,04","5,20"
DZM,DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"57,076","109,993","662,815","700,922","757,415","3,411,952",-,"2,5","2,5",103,"3,65","2.447.738.128,60","1.628.884.475,26","-33,45","443.303.623,08","287.297.045,08","-35,19","2,68"
AAK,ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,Değişken Şemsiye Fonu,"36,293","87,910","670,905","613,300","756,829","2,894,017","4,881,881",1,1,"61,23",0,"313.150.463,10","308.592.091,66","-1,46","835.647.034,00","803.257.892,00","-3,88","2,52"
ACK,İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"27,864","99,927","656,582","556,752","755,402","3,790,632","7,198,550","2,5","2,5","51,63","3,65","1.143.360.211,20","1.169.651.921,62","2,30","546.629.502,39","537.653.195,39","-1,64","4,01"
ICC,ICBC TURKEY PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"29,946","102,646","541,017","600,855","755,382","3,155,456","4,991,694","2,5","2,5","90,81","3,65","139.732.471,77","121.710.115,35","-12,90","67.364.267,00","56.829.778,00","-15,64","3,25"
YKT,YAPI KREDİ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"32,677","92,092","446,816","655,504","755,305","2,829,743","7,220,481",1,1,"64,99",0,"105.750.157,04","363.074.761,90","243,33","138.306,00","461.157,00","233,43","2,97"
GVI,GARANTİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"54,370","89,857","682,978","644,098","747,042",-,-,"2,5","2,5","62,38","4,38","526.780.202,29","670.993.132,83","27,38","2.485.761.393,00","3.014.116.112,00","21,26","5,05"
IJH,ICBC TURKEY PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"53,352","94,541","417,001","646,096","746,394",-,-,"2,5","2,5","64,62","3,65","95.786.153,68","76.614.086,62","-20,02","139.772.629,00","107.377.329,00","-23,18","4,12"
RBH,ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"53,308","103,186","918,571","524,537","744,045","5,384,645","1.486,5516","3,2","3,2",0,0,"82.090.297,39","88.353.651,46","7,63","8.765.231,00","9.130.998,00","4,17","3,32"
FPE,FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ)FONU,Borçlanma Araçları Şemsiye Fonu,"68,580","99,239","636,444","685,136","743,132","3,179,432","6,774,073","1,72","1,72","34,47","2,19","86.329.789,54","90.527.223,64","4,86","21.212.373,00","21.412.525,00","0,94","3,88"
GMA,AZİMUT PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,Değişken Şemsiye Fonu,"38,904","103,734","671,017","584,932","739,861","3,977,287","7,665,420",1,1,"34,63",0,"243.702.629,82","249.805.210,62","2,50","58.319.700,00","57.280.490,00","-1,78","4,36"
YZC,YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"137,081","115,405","548,720","860,346","737,417",-,-,"2,5","2,5","79,62","3,65","1.035.786.735,62","1.037.910.189,42","0,21","6.497.517.586,00","6.295.989.117,00","-3,10","3,41"
HBF,HSBC PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"44,171","74,894","427,629","646,285","735,386","2,703,018","6,710,509","2,5",0,"52,85","4,38","1.219.783.277,79","1.221.885.823,25","0,17","10.219.435.297,48","9.615.054.226,48","-5,91","6,47"
OLA,OSMANLI PORTFÖY İKİNCİ SERBEST (DÖVİZ- AVRO) FON,Serbest Şemsiye Fonu,"70,851","75,962","581,296","623,092","734,200",-,-,"0,9","0,9","82,81","2,19","113.949.210,41","128.816.570,97","13,05","565.001.000,00","583.500.000,00","3,27","9,46"
DHM,DENİZ PORTFÖY ESG-SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"112,557","101,545","659,598","737,634","732,433",-,-,"3,2","3,2","93,16","3,65","181.685.064,97","536.160.235,97","195,10","101.515.450,00","283.394.196,00","179,16","5,71"
IYB,AURA PORTFÖY DEĞİŞKEN FONU,Değişken Şemsiye Fonu,"33,448","113,880","616,514","617,277","732,388","1,972,103","3,194,425",2,2,0,"2,19","617.016.441,85","915.129.232,63","48,32","2.328.525.292,35","3.355.744.275,35","44,11","2,91"
FIB,FİBA PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"25,407","86,793","435,215","637,198","730,533","2,779,531","7,095,964","2,7",0,0,"3,65","462.534.281,50","474.042.938,25","2,49","224.601.384,00","223.850.511,00","-0,33","2,83"
KSR,KT PORTFÖY SÜRDÜRÜLEBİLİRLİK KATILIM FONU,Katılım Şemsiye Fonu,"81,576","81,982","606,181","625,544","726,946",-,-,"0,5","0,5","83,28","4,38","130.616.373,12","148.784.236,57","13,91","47.221.524,00","48.783.087,00","3,31","10,26"
GZY,GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"136,118","29,897","555,067","730,943","726,882",-,-,"1,9","1,9","99,78","3,65","510.779.133,41","482.948.792,14","-5,45","348.916.881,00","327.620.699,00","-6,10","0,70"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"98,021","72,321","442,540","710,928","726,827","3,383,645","5,956,063",1,1,"35,87",0,"578.705.853,47","618.815.637,34","6,93","150.952.300,00","157.829.800,00","4,56","2,27"
DBA,DENİZ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"23,906","77,061","414,918","636,405","724,586","2,816,609","7,041,309","1,5","1,5","37,64",0,"1.832.682.950,20","1.839.484.521,34","0,37","105.718.225,00","101.092.804,00","-4,38","4,96"
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"25,362","71,583","425,314","645,260","724,139","2,552,687",-,3,3,"94,02","3,65","11.964.912,05","12.916.844,16","7,96","7.732.020,00","7.907.063,00","2,26","5,57"
ODS,OYAK PORTFÖY İKİNCİ SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,"55,820","87,272","632,525","654,142","722,376","3,246,228",-,"2,701","2,701","85,19","3,65","26.112.419,34","26.770.293,80","2,52","16.049.829,00","15.185.385,00","-5,39","8,36"
TMG,İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"109,666","76,802","476,470","786,396","721,109","3,392,271","6,703,287","1,9",0,"31,28","4,38","135.301.091,13","125.355.977,23","-7,35","33.845.863,00","30.321.881,00","-10,41","3,42"
RPG,ROTA PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"26,447","67,048","411,236","647,693","715,460",-,-,"2,9",0,"117,34",0,"18.998.223,17","20.878.319,78","9,90","8.786.338,00","9.187.354,00","4,56","5,10"
HPD,HSBC PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"57,011","82,787","545,097","653,278","715,024","2,654,656","4,363,296","1,5","1,5","35,82","3,65","454.101.611,02","467.555.777,54","2,96","323.512.786,00","323.743.514,00","0,07","2,89"
TI7,İŞ PORTFÖY DENGELİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"62,957","70,915","500,343","625,416","714,565","2,422,317","3,926,305","2,701","2,701","73,99","3,65","6.359.985,97","6.722.955,72","5,71","1.875.308,00","1.855.075,00","-1,08","6,86"
IEV,İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON,Değişken Şemsiye Fonu,"109,664","44,540","558,350","699,781","713,036",-,-,"2,19",0,"64,9","4,38","174.508.651,35","164.950.350,81","-5,48","45.759.034,00","42.561.751,00","-6,99","1,62"
GZM,GLOBAL MD PORTFÖY DİNAMİK SERBEST (TL) FON,Serbest Şemsiye Fonu,"53,739","69,126","505,497","517,174","711,792",-,-,"1,75","1,75","56,98","4,38","2.296.159.788,34","2.184.729.662,14","-4,85","3.756.120,00","3.404.840,00","-9,35","4,96"
GTA,GARANTİ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"19,195","77,733","429,799","633,722","711,713","2,801,300","7,224,758","2,5","2,5","120,3","3,65","150.691,72","190.806,35","26,62","84.230,00","102.542,00","21,74","4,01"
FUA,AK PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"-0,6929","53,860","780,579","407,181","710,715",-,-,"2,6","2,6","35,02","4,38","9.378.054,63","11.609.426,81","23,79","2.736.525,00","3.211.075,00","17,34","5,50"
TPZ,TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU,Katılım Şemsiye Fonu,"50,019","80,467","642,318","679,974","710,668","3,156,980","6,690,117","2,6","2,6","52,11","4,38","59.764.511,25","46.698.838,64","-21,86","1.040.706.690,00","790.455.134,00","-24,05","2,87"
ICA,ICBC TURKEY PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"12,982","71,973","381,030","626,268","709,228","2,672,451","6,690,150","2,6","2,6","67,55","4,38","3.115.856.737,07","3.110.375.465,37","-0,18","3.720.546.106,56","3.543.137.163,56","-4,77","4,82"
YBE,YAPI KREDİ PORTFÖY EUROBOND (DOLAR) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"67,914","86,468","650,981","662,859","706,699","2,836,524","5,681,636","2,6","2,6","76,45","4,38","315.668.636,09","323.212.629,57","2,39","175.313.999,00","169.279.904,00","-3,44","6,04"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,Serbest Şemsiye Fonu,"51,724","72,413","563,725","632,767","705,691","3,196,617","6,789,762","1,45","1,45",0,"1,65","2.139.133,17","2.262.637,43","5,77","1.056.702,00","1.065.191,00","0,80","4,93"
EUZ,GARANTİ PORTFÖY SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"68,900","89,478","596,783","631,990","704,659",-,-,3,3,0,,"632.644.548,88","622.816.884,11","-1,55","771.979.300,00","737.935.300,00","-4,41","2,99"
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"10,976","61,078","402,880","616,925","701,870","2,894,534","7,326,393",3,3,"96,75","3,65","1.849.323,84","1.894.269,58","2,43","1.354.014,00","1.339.085,00","-1,10","3,57"
AFO,AK PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"0,8602","80,060","421,144","613,810","701,716","2,805,332","7,090,747",2,2,"65,38","3,65","3.261.826,83","5.771.824,25","76,95","2.069.102,00","3.517.835,00","70,02","4,08"
YVG,YAPI KREDİ PORTFÖY SARIYER SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"68,653","82,060","595,368","626,651","698,860",-,-,"1,5","1,5","33,1","3,65","10.050.147,32","11.241.241,44","11,85","5.793.459,00","6.149.449,00","6,14","5,38"
TJT,TEB PORTFÖY ALTINCI SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"75,032","89,769","612,548","627,868","698,649",-,-,"1,83","1,83","38,41","3,65","12.440.366,33","15.341.329,06","23,32","6.710.889,00","7.778.601,00","15,91","6,39"
HSA,HSBC PORTFÖY DEĞİŞKEN (TL) FON,Değişken Şemsiye Fonu,"18,256","47,595","597,826","556,460","697,485","4,995,889","9,140,067","2,28","2,28","81,01","3,65","101.709.137,58","115.985.756,36","14,04","84.497.984,00","93.725.721,00","10,92","2,81"
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"43,450","82,136","581,872","633,388","696,066","3,211,030","6,635,848","1,9","1,9","53,73","3,65","0,00","16.489.663,08","0,00","0,00","16.024.216,00","0,00","0,00"
TUA,TEB PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"17,849","75,361","422,497","618,689","696,049","2,720,566","6,950,172",1,1,"58,73",0,"1.974.320.077,69","1.840.045.273,11","-6,80","226.454.377,00","208.744.982,00","-7,82","1,11"
NJF,NUROL PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"12,657","66,828","364,088","595,566","695,772",-,-,"1,9","1,9","54,63","3,65","1.360.193.493,08","1.250.336.673,47","-8,08","132.861.907,00","114.842.917,00","-13,56","6,35"
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"65,500","90,403","619,544","658,343","693,138","2,861,979","5,938,329","2,75","2,75","14,41",0,"684.375.535,59","688.338.160,63","0,58","166.116.694,00","162.086.408,00","-2,43","3,08"
OJK,QNB FİNANS PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"20,304","77,302","419,260","598,509","693,090",-,-,"2,701","2,701","101,49","3,65","837.980.875,36","746.261.678,22","-10,95","26.235.174,00","21.658.323,00","-17,45","7,87"
MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"71,467","48,250","437,750","508,295","688,573",-,-,"1,95","1,95","71,17","2,19","149.723.917,42","279.098.115,29","86,41","43.550.384,00","79.028.880,00","81,47","2,72"
YEF,YAPI KREDİ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"46,649","59,851","712,176","505,233","686,684","4,809,152","6,463,254","1,825","1,825",32,"3,65","711.566.426,43","806.196.492,73","13,30","129.024.400,00","131.601.100,00","2,00","11,08"
IJP,İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,Karma Şemsiye Fonu,"106,759","93,716","553,558","681,619","685,766",-,-,"3,2","3,2","114,17","3,65","392.223.547,90","390.562.151,08","-0,42","64.970.828,00","62.179.008,00","-4,30","4,05"
EIC,QİNVEST PORTFÖY İKİNCİ DEĞİŞKEN FONU,Değişken Şemsiye Fonu,"98,526","102,663","650,559","572,979","685,663","2,886,180","5,031,885",2,2,"61,76",0,"39.754.370.058,51","42.458.102.033,42","6,80","1.381.113.264,00","1.437.523.989,00","4,08","2,61"
IPV,İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Şemsiye Fonu,"45,830","86,458","603,413","652,585","685,268","3,213,820","6,483,835",2,2,"60,92","4,38","156.365.449,43","157.263.567,84","0,57","22.776.327,00","22.020.032,00","-3,32","4,03"
